Spending on Food,Spending on Clothing,Cluster
18.993758268473627,21.447685061686077,0
24.83098733409916,31.075061245681482,0
22.20286272811405,30.289282736101065,0
21.776191251970367,28.029099014982066,0
16.325449214424363,30.155013337226617,0
16.328236353362026,34.52565591462535,0
15.701817261681995,27.04180348301195,0
22.799302537749348,27.94842096941246,0
20.504734557432087,33.10898561768704,0
21.626713737960458,27.002170662620742,0
15.938669322958024,29.27682605705636,0
24.732862621619944,25.07218972342266,0
23.052235048004217,25.308968724154575,0
16.547894316782763,34.814333156779256,0
16.517930332071003,33.21395433512206,0
16.53319178853434,32.88588115093698,0
18.035673819595377,24.9349294441427,0
20.658836776322378,23.57526320070846,0
19.423881986421158,25.58453536671086,0
17.24819838198042,29.047828981645953,0
21.487762237223794,30.577950787061205,0
16.33711446652042,31.995407377000625,0
17.182185485352182,34.44947376717731,0
18.43329904293692,28.327900079459425,0
19.73250898217036,33.66713272663194,0
23.01380159393014,27.221469166957686,0
16.6582768215836,30.849378665114006,0
20.657844144136117,31.58284752234352,0
20.504536928620425,29.0413944342779,0
15.630135847199977,27.965082455011576,0
20.835861399014384,28.466897296512617,0
16.152073746872915,31.98035779464369,0
16.056778839852793,25.82205489629756,0
24.452850312533332,26.662492855069164,0
24.837138340745593,25.137466540217527,0
23.26467128116461,26.1763063031897,0
18.028224671733703,34.33692767011007,0
14.666848590063838,32.44752984380024,0
21.88585379512157,29.592234610873255,0
19.447405327396012,24.984557146510014,0
16.11054640844779,30.09471504116832,0
20.690716121112704,29.47558259780566,0
14.939638411152185,26.48114017910015,0
24.55090508078782,29.502892042379727,0
17.32291971600017,29.241681063973736,0
21.67376161353982,31.642823480522168,0
17.76608421089411,31.187105438676436,0
20.00462613177811,24.72128262772044,0
20.615162933432796,28.87665378626471,0
16.851101285255268,31.141305587142362,0
23.988160907645586,29.82103992580088,0
22.579970973611147,33.16375978188322,0
24.31434655564189,31.78896174618945,0
24.891366454276486,26.7166331808143,0
21.10777498811085,25.6684645140043,0
23.259356740231166,31.410935842063154,0
15.915040120519194,26.496734165416218,0
16.86364814419145,31.00852948273463,0
15.43491700910538,33.817963394249574,0
18.824714717632645,31.13070829875879,0
19.282288866894824,28.42700553206522,0
18.414887477738958,30.731956654423534,0
23.580803641519296,30.67775671491517,0
18.072265106935895,30.17301903315935,0
17.85917077687381,34.16291025776525,0
19.651629111582483,28.895307868007745,0
15.878090389747625,34.84870185823914,0
22.5622576875404,34.82847361956064,0
15.353879786797709,26.796880587892964,0
25.275627976005175,25.078180848751654,0
22.836177662966577,26.661351393774265,0
16.183415195341723,25.274535186515497,0
15.185162571236024,26.335341047559282,0
22.53613892454834,31.16983942416357,0
22.329544218476173,25.86037882460229,0
22.415318110409874,28.362980402937612,0
22.372691106859456,33.564879959694544,0
15.886982757340903,24.87554364735826,0
19.51754454544273,33.38160128588936,0
15.563038845251299,28.146824547734,0
23.143693418755934,26.575190576216563,0
21.81227905827558,31.557030493641506,0
18.79066830852649,31.49581892779884,0
16.046613582860235,34.72311662527053,0
17.987129157156623,31.97384235803886,0
17.807076010267473,32.62690416384849,0
22.25751093338064,27.990921715713064,0
21.513920113552132,27.187987057797226,0
23.878628375763263,33.23291455640858,0
19.58982083161949,34.42843197267264,0
16.508776129383016,34.47647264000673,0
21.59700162222995,29.367412979114263,0
22.496119096168975,29.07718110792783,0
20.84939078569496,32.72771514741997,0
22.28627493954561,27.650611792530178,0
19.714698483643907,34.73577265603565,0
20.334375163819942,32.96125812843012,0
19.362000643585496,29.48259896375018,0
14.812262547440952,32.58557322791498,0
16.108018629933046,31.973943590846822,0
45.493185536867344,66.31163094835932,1
51.905629732637806,74.55243009679567,1
47.454725130763265,69.58361120447857,1
50.34322454164703,73.52146764107742,1
54.33318857926093,70.12686176030611,1
47.778367551488756,74.52301510496201,1
49.580830110356295,69.21771241734163,1
52.39787676543048,65.48786112480299,1
46.90156904491622,73.93541046419264,1
45.52711732828793,65.95380383786133,1
49.05484380913768,67.25950377590415,1
46.955342972540045,73.69426173050805,1
